Company,Job Title,Location,Remote,Experience Level,Date Posted,Easy Apply,Applicants,Required Skills,Salary
CapsLock,Online Data Analyst,Portugal,Yes,Entry-level,2025-02-13,No,110,"Data Visualization, ETL, Machine Learning",€50K - €60K
Cochrane,Data Scientist,United Kingdom,Yes,Fellowship,2025-01-24,No,475,"Statistics, Power BI, Python",€50K - €60K
TELUS Digital,Trainee Data Analyst,Ireland,Yes,Entry-level,2025-02-12,No,180,"Statistics, Big Data, SQL, Data Visualization, Tableau, Machine Learning",€50K - €60K
Peroptyx,Freelance Online Data Analyst,France,No,Entry-level,2025-02-16,No,413,"SQL, Python, Tableau, Power BI, Statistics, Excel",£30K - £40K
Peroptyx,Data Scientist,United Kingdom,No,Trainee,2025-02-22,Yes,82,"Machine Learning, Tableau, Excel, Statistics, Power BI",£40K - £50K
CONNECTMETA.AI,Online Data Analyst,Germany,No,Senior,2025-02-16,No,260,"SQL, Machine Learning, Tableau",€35K - €45K
CapsLock,Data Scientist,Poland,No,Freelance,2025-02-08,Yes,35,"Data Visualization, Python, Power BI, Statistics, SQL, Machine Learning",£30K - £40K
Oeson Learning™,Online Data Analyst,Norway,Yes,Trainee,2025-02-17,Yes,158,"SQL, Statistics, Excel",£30K - £40K
Peroptyx,Data Science Intern,Spain,No,Mid-level,2025-02-06,Yes,423,"Tableau, Big Data, SQL, Data Visualization",Not Disclosed
Oeson Learning™,Data Scientist,Germany,No,Internship,2025-02-19,Yes,75,"Statistics, Data Visualization, Tableau, SQL",£30K - £40K
Cochrane,Data Scientist,Nigeria,No,Internship,2025-02-12,No,187,"Python, Big Data, Tableau, Power BI",€50K - €60K
Dataleum,Data Analyst,Ireland,Yes,Freelance,2025-02-09,Yes,498,"Big Data, Tableau, Statistics, ETL, Machine Learning, Excel",$70K - $90K
Dataleum,Freelance Online Data Analyst,Norway,Yes,Trainee,2025-02-09,Yes,350,"SQL, Tableau, Power BI, Data Visualization, Python, Statistics",€50K - €60K
TELUS Digital,Sustainability Data Analyst,France,Yes,Freelance,2025-02-05,Yes,217,"Excel, Tableau, Python, Machine Learning",€35K - €45K
Found By Few,Data Science Intern,Germany,No,Internship,2025-02-04,Yes,57,"Power BI, Big Data, Python",€50K - €60K
CapsLock,Freelance Online Data Analyst,Saudi Arabia,Yes,Mid-level,2025-02-09,Yes,182,"Data Visualization, ETL, Excel, Big Data, Statistics, Python",£40K - £50K
